text,label
உங்கள் ₹64165 மின்சார கட்டணம் 14/08/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
"প্রিয় গ্রাহক, আপনার ব্যাঙ্ক অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ ধরা পড়েছে। আজই ওটিপি পাঠান অথবা http://refund-8232.click এ যাচাই করুন। সহায়তা নম্বর 9882716178",LIKELY_SCAM
Your package is delayed due to address issues. Track status here http://secure-4753.online.,SUSPICIOUS
"প্রিয় গ্রাহক, আপনার ব্যাঙ্ক অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ ধরা পড়েছে। আজই ওটিপি পাঠান অথবা http://refund-9424.xyz এ যাচাই করুন। সহায়তা নম্বর 9531142148",LIKELY_SCAM
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 18/03/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://login-0767.site पर सत्यापन करें। सहायता: 9853054067",LIKELY_SCAM
உங்கள் ₹92405 மின்சார கட்டணம் 19/01/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
Your package is delayed due to address issues. Track status here http://login-9105.xyz.,SUSPICIOUS
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://login-4155.click மூலம் சரிபார்க்கவும். உதவி: 9479749851",LIKELY_SCAM
Limited time update required to continue services. Click http://login-2475.online.,SUSPICIOUS
Your package is delayed due to address issues. Track status here http://verify-2950.site.,SUSPICIOUS
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://update-3599.online மூலம் சரிபார்க்கவும். உதவி: 9619995292",LIKELY_SCAM
आपका ₹18881 का बिजली बिल 17/02/2026 को सफलतापूर्वक भुगतान हो गया है।,SAFE
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://login-9174.click மூலம் சரிபார்க்கவும். உதவி: 9556224479",LIKELY_SCAM
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
"Dear customer, your bank account ending 1023 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://secure-9647.site. Contact support 9043477128.",LIKELY_SCAM
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
Your package is delayed due to address issues. Track status here http://login-4569.site.,SUSPICIOUS
আপনার ₹31239 টাকার বিদ্যুৎ বিল 22/02/2026 তারিখে পরিশোধ হয়েছে।,SAFE
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 10/03/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://verify-0391.click पर सत्यापन करें। सहायता: 9359389685",LIKELY_SCAM
Limited time update required to continue services. Click http://update-4995.click.,SUSPICIOUS
Your package is delayed due to address issues. Track status here http://update-3629.online.,SUSPICIOUS
Customer care tried to reach you regarding your account. Please call back 9407672388.,SUSPICIOUS
आपका ₹41906 का बिजली बिल 27/04/2026 को सफलतापूर्वक भुगतान हो गया है।,SAFE
"Dear customer, your bank account ending 9289 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://verify-8868.xyz. Contact support 9746804918.",LIKELY_SCAM
Your electricity bill of ₹15470 has been paid successfully on 17/05/2026. Transaction ID 07041517.,SAFE
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
आपका ₹18710 का बिजली बिल 26/03/2026 को सफलतापूर्वक भुगतान हो गया है।,SAFE
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://update-1563.online மூலம் சரிபார்க்கவும். உதவி: 9566731181",LIKELY_SCAM
আপনার ₹45931 টাকার বিদ্যুৎ বিল 21/06/2026 তারিখে পরিশোধ হয়েছে।,SAFE
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 11/07/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://login-5324.click पर सत्यापन करें। सहायता: 9027650684",LIKELY_SCAM
"প্রিয় গ্রাহক, আপনার ব্যাঙ্ক অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ ধরা পড়েছে। আজই ওটিপি পাঠান অথবা http://refund-8822.click এ যাচাই করুন। সহায়তা নম্বর 9828878143",LIKELY_SCAM
"প্রিয় গ্রাহক, আপনার ব্যাঙ্ক অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ ধরা পড়েছে। আজই ওটিপি পাঠান অথবা http://update-4222.site এ যাচাই করুন। সহায়তা নম্বর 9185715638",LIKELY_SCAM
Your package is delayed due to address issues. Track status here http://verify-1353.xyz.,SUSPICIOUS
আপনার ₹69846 টাকার বিদ্যুৎ বিল 18/07/2026 তারিখে পরিশোধ হয়েছে।,SAFE
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
Your package is delayed due to address issues. Track status here http://update-8503.click.,SUSPICIOUS
"Dear user, aapke account me unusual activity detect hui hai. Account ko block hone se bachane ke liye turant OTP bheje ya http://update-2916.xyz open kare.",LIKELY_SCAM
Customer care tried to reach you regarding your account. Please call back 9303059986.,SUSPICIOUS
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://secure-0312.live மூலம் சரிபார்க்கவும். உதவி: 9428754038",LIKELY_SCAM
"Dear customer, your bank account ending 2287 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://secure-5547.live. Contact support 9888993316.",LIKELY_SCAM
"প্রিয় গ্রাহক, আপনার ব্যাঙ্ক অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ ধরা পড়েছে। আজই ওটিপি পাঠান অথবা http://verify-2708.xyz এ যাচাই করুন। সহায়তা নম্বর 9231751204",LIKELY_SCAM
Your electricity bill of ₹44514 has been paid successfully on 11/05/2026. Transaction ID 02330823.,SAFE
"প্রিয় গ্রাহক, আপনার ব্যাঙ্ক অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ ধরা পড়েছে। আজই ওটিপি পাঠান অথবা http://verify-8822.click এ যাচাই করুন। সহায়তা নম্বর 9901278749",LIKELY_SCAM
உங்கள் ₹31020 மின்சார கட்டணம் 16/03/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
Limited time update required to continue services. Click http://login-3719.xyz.,SUSPICIOUS
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://kyc-6332.site மூலம் சரிபார்க்கவும். உதவி: 9793208507",LIKELY_SCAM
আপনার ₹45648 টাকার বিদ্যুৎ বিল 26/05/2026 তারিখে পরিশোধ হয়েছে।,SAFE
Limited time update required to continue services. Click http://secure-7579.site.,SUSPICIOUS
আপনার ₹4055 টাকার বিদ্যুৎ বিল 23/02/2026 তারিখে পরিশোধ হয়েছে।,SAFE
Your electricity bill of ₹83353 has been paid successfully on 20/07/2026. Transaction ID 18664238.,SAFE
"Dear user, aapke account me unusual activity detect hui hai. Account ko block hone se bachane ke liye turant OTP bheje ya http://refund-4281.site open kare.",LIKELY_SCAM
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 10/07/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://secure-3757.live पर सत्यापन करें। सहायता: 9467872770",LIKELY_SCAM
Your package is delayed due to address issues. Track status here http://secure-7720.site.,SUSPICIOUS
உங்கள் ₹55884 மின்சார கட்டணம் 23/08/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
Customer care tried to reach you regarding your account. Please call back 9132308209.,SUSPICIOUS
Your electricity bill of ₹34764 has been paid successfully on 18/08/2026. Transaction ID 54594796.,SAFE
Customer care tried to reach you regarding your account. Please call back 9621759726.,SUSPICIOUS
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
"Dear customer, your bank account ending 2538 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://kyc-7378.online. Contact support 9328151629.",LIKELY_SCAM
Customer care tried to reach you regarding your account. Please call back 9962661172.,SUSPICIOUS
உங்கள் ₹92222 மின்சார கட்டணம் 22/06/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
Your package is delayed due to address issues. Track status here http://kyc-0811.online.,SUSPICIOUS
உங்கள் ₹87751 மின்சார கட்டணம் 16/02/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
Limited time update required to continue services. Click http://kyc-3107.site.,SUSPICIOUS
"Dear customer, your bank account ending 3220 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://verify-4067.xyz. Contact support 9781260368.",LIKELY_SCAM
"Dear user, aapke account me unusual activity detect hui hai. Account ko block hone se bachane ke liye turant OTP bheje ya http://secure-2809.xyz open kare.",LIKELY_SCAM
आपका ₹63914 का बिजली बिल 13/04/2026 को सफलतापूर्वक भुगतान हो गया है।,SAFE
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 21/09/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://secure-4058.site पर सत्यापन करें। सहायता: 9002110325",LIKELY_SCAM
आपका ₹32116 का बिजली बिल 17/08/2026 को सफलतापूर्वक भुगतान हो गया है।,SAFE
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://kyc-8903.online மூலம் சரிபார்க்கவும். உதவி: 9968821357",LIKELY_SCAM
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 27/05/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://update-0886.live पर सत्यापन करें। सहायता: 9014583145",LIKELY_SCAM
Your electricity bill of ₹69700 has been paid successfully on 13/02/2026. Transaction ID 20320738.,SAFE
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 20/03/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://login-5734.click पर सत्यापन करें। सहायता: 9754687596",LIKELY_SCAM
আপনার ₹20285 টাকার বিদ্যুৎ বিল 21/03/2026 তারিখে পরিশোধ হয়েছে।,SAFE
আপনার ₹22360 টাকার বিদ্যুৎ বিল 23/01/2026 তারিখে পরিশোধ হয়েছে।,SAFE
আপনার ₹76553 টাকার বিদ্যুৎ বিল 15/03/2026 তারিখে পরিশোধ হয়েছে।,SAFE
உங்கள் ₹3735 மின்சார கட்டணம் 25/04/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://kyc-6375.site மூலம் சரிபார்க்கவும். உதவி: 9673856889",LIKELY_SCAM
Your package is delayed due to address issues. Track status here http://refund-6718.site.,SUSPICIOUS
আপনার ₹29538 টাকার বিদ্যুৎ বিল 13/01/2026 তারিখে পরিশোধ হয়েছে।,SAFE
உங்கள் ₹29320 மின்சார கட்டணம் 22/03/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 26/06/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://update-9151.site पर सत्यापन करें। सहायता: 9386170173",LIKELY_SCAM
Your electricity bill of ₹67100 has been paid successfully on 18/06/2026. Transaction ID 02045458.,SAFE
உங்கள் ₹52001 மின்சார கட்டணம் 17/03/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
Your package is delayed due to address issues. Track status here http://secure-5770.site.,SUSPICIOUS
Limited time update required to continue services. Click http://secure-1627.click.,SUSPICIOUS
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 24/06/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://login-0733.live पर सत्यापन करें। सहायता: 9185346131",LIKELY_SCAM
Customer care tried to reach you regarding your account. Please call back 9811031037.,SUSPICIOUS
உங்கள் ₹4592 மின்சார கட்டணம் 13/01/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
আপনার ₹76988 টাকার বিদ্যুৎ বিল 26/04/2026 তারিখে পরিশোধ হয়েছে।,SAFE
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://kyc-9396.live மூலம் சரிபார்க்கவும். உதவி: 9229948546",LIKELY_SCAM
Customer care tried to reach you regarding your account. Please call back 9494639476.,SUSPICIOUS
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://verify-8844.click மூலம் சரிபார்க்கவும். உதவி: 9493146198",LIKELY_SCAM
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://login-7650.online மூலம் சரிபார்க்கவும். உதவி: 9695365328",LIKELY_SCAM
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 26/09/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://update-9897.click पर सत्यापन करें। सहायता: 9016989361",LIKELY_SCAM
Your package is delayed due to address issues. Track status here http://kyc-8738.online.,SUSPICIOUS
Customer care tried to reach you regarding your account. Please call back 9823334036.,SUSPICIOUS
Limited time update required to continue services. Click http://refund-3205.click.,SUSPICIOUS
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
"Dear customer, your bank account ending 6960 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://secure-8530.live. Contact support 9673544572.",LIKELY_SCAM
Limited time update required to continue services. Click http://verify-5319.site.,SUSPICIOUS
Customer care tried to reach you regarding your account. Please call back 9894646772.,SUSPICIOUS
Customer care tried to reach you regarding your account. Please call back 9997768792.,SUSPICIOUS
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://refund-0219.online மூலம் சரிபார்க்கவும். உதவி: 9184409292",LIKELY_SCAM
आपकी सेवा जारी रखने के लिए खाते का सत्यापन आवश्यक है।,SUSPICIOUS
Limited time update required to continue services. Click http://secure-6397.xyz.,SUSPICIOUS
Customer care tried to reach you regarding your account. Please call back 9067727987.,SUSPICIOUS
"প্রিয় গ্রাহক, আপনার ব্যাঙ্ক অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ ধরা পড়েছে। আজই ওটিপি পাঠান অথবা http://verify-1153.site এ যাচাই করুন। সহায়তা নম্বর 9943992259",LIKELY_SCAM
आपका ₹64062 का बिजली बिल 20/01/2026 को सफलतापूर्वक भुगतान हो गया है।,SAFE
Customer care tried to reach you regarding your account. Please call back 9163230284.,SUSPICIOUS
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://secure-0899.online மூலம் சரிபார்க்கவும். உதவி: 9537942822",LIKELY_SCAM
Limited time update required to continue services. Click http://update-8934.xyz.,SUSPICIOUS
আপনার ₹48577 টাকার বিদ্যুৎ বিল 11/05/2026 তারিখে পরিশোধ হয়েছে।,SAFE
Limited time update required to continue services. Click http://update-8047.click.,SUSPICIOUS
আপনার ₹14873 টাকার বিদ্যুৎ বিল 19/03/2026 তারিখে পরিশোধ হয়েছে।,SAFE
Your package is delayed due to address issues. Track status here http://refund-3195.click.,SUSPICIOUS
"Dear customer, your bank account ending 3543 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://verify-3562.xyz. Contact support 9322994772.",LIKELY_SCAM
Limited time update required to continue services. Click http://verify-4695.site.,SUSPICIOUS
Your electricity bill of ₹68219 has been paid successfully on 13/07/2026. Transaction ID 87261140.,SAFE
Your package is delayed due to address issues. Track status here http://secure-7684.site.,SUSPICIOUS
"Dear customer, your bank account ending 4392 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://secure-7334.xyz. Contact support 9011873221.",LIKELY_SCAM
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 26/02/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://login-1314.live पर सत्यापन करें। सहायता: 9907380483",LIKELY_SCAM
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://login-8290.site மூலம் சரிபார்க்கவும். உதவி: 9323365597",LIKELY_SCAM
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 17/05/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://update-1804.click पर सत्यापन करें। सहायता: 9501365947",LIKELY_SCAM
"அன்புள்ள வாடிக்கையாளர், உங்கள் வங்கி கணக்கில் சந்தேகமான செயல்பாடு கண்டறியப்பட்டுள்ளது. உடனே ஓடிபி அனுப்பவும் அல்லது http://login-6265.click மூலம் சரிபார்க்கவும். உதவி: 9602829017",LIKELY_SCAM
"প্রিয় গ্রাহক, আপনার ব্যাঙ্ক অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ ধরা পড়েছে। আজই ওটিপি পাঠান অথবা http://update-5883.click এ যাচাই করুন। সহায়তা নম্বর 9170162983",LIKELY_SCAM
உங்கள் ₹45036 மின்சார கட்டணம் 16/06/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
"Dear customer, your bank account ending 1425 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://login-9106.live. Contact support 9963516410.",LIKELY_SCAM
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 27/09/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://update-1726.live पर सत्यापन करें। सहायता: 9319558841",LIKELY_SCAM
"Dear user, aapke account me unusual activity detect hui hai. Account ko block hone se bachane ke liye turant OTP bheje ya http://login-0593.live open kare.",LIKELY_SCAM
Limited time update required to continue services. Click http://login-5400.live.,SUSPICIOUS
Your package is delayed due to address issues. Track status here http://refund-8982.online.,SUSPICIOUS
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 23/03/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://secure-8316.site पर सत्यापन करें। सहायता: 9654331802",LIKELY_SCAM
আপনার ₹52129 টাকার বিদ্যুৎ বিল 19/02/2026 তারিখে পরিশোধ হয়েছে।,SAFE
आपका ₹74168 का बिजली बिल 14/06/2026 को सफलतापूर्वक भुगतान हो गया है।,SAFE
"প্রিয় গ্রাহক, আপনার ব্যাঙ্ক অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ ধরা পড়েছে। আজই ওটিপি পাঠান অথবা http://verify-0575.click এ যাচাই করুন। সহায়তা নম্বর 9215972931",LIKELY_SCAM
"Dear customer, your bank account ending 3660 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://secure-6667.site. Contact support 9696050843.",LIKELY_SCAM
Customer care tried to reach you regarding your account. Please call back 9615292799.,SUSPICIOUS
आपका ₹83518 का बिजली बिल 14/09/2026 को सफलतापूर्वक भुगतान हो गया है।,SAFE
"প্রিয় গ্রাহক, আপনার ব্যাঙ্ক অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ ধরা পড়েছে। আজই ওটিপি পাঠান অথবা http://login-4484.live এ যাচাই করুন। সহায়তা নম্বর 9057000030",LIKELY_SCAM
Limited time update required to continue services. Click http://refund-6052.online.,SUSPICIOUS
"Dear customer, your bank account ending 6306 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://login-3979.xyz. Contact support 9934604639.",LIKELY_SCAM
"Dear customer, your bank account ending 8407 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://login-1382.online. Contact support 9129530176.",LIKELY_SCAM
Customer care tried to reach you regarding your account. Please call back 9011731416.,SUSPICIOUS
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 16/06/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://secure-0198.live पर सत्यापन करें। सहायता: 9591941386",LIKELY_SCAM
"Dear user, aapke account me unusual activity detect hui hai. Account ko block hone se bachane ke liye turant OTP bheje ya http://update-2100.site open kare.",LIKELY_SCAM
உங்கள் ₹3986 மின்சார கட்டணம் 26/05/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 12/04/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://kyc-0087.click पर सत्यापन करें। सहायता: 9100524690",LIKELY_SCAM
"Dear user, aapke account me unusual activity detect hui hai. Account ko block hone se bachane ke liye turant OTP bheje ya http://login-9957.xyz open kare.",LIKELY_SCAM
உங்கள் ₹73675 மின்சார கட்டணம் 22/05/2026 அன்று வெற்றிகரமாக செலுத்தப்பட்டது।,SAFE
"Dear customer, your bank account ending 9220 will be blocked today due to KYC failure. Please share OTP immediately or verify at http://secure-5403.live. Contact support 9946420833.",LIKELY_SCAM
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 27/08/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://update-2919.click पर सत्यापन करें। सहायता: 9043295842",LIKELY_SCAM
"प्रिय ग्राहक, आपके बैंक खाते का KYC अधूरा है और आज 27/01/2026 को खाता बंद हो सकता है। तुरंत ओटीपी साझा करें या http://refund-5801.xyz पर सत्यापन करें। सहायता: 9436854732",LIKELY_SCAM
Your electricity bill of ₹69301 has been paid successfully on 14/08/2026. Transaction ID 18944775.,SAFE
Your package is delayed due to address issues. Track status here http://update-0297.online.,SUSPICIOUS
